subject,chunk_size,chunk_size_sec,window_size_sec,mode,mean_hr,std_hr
1001,160,5.3,3,non_overlapping,83.04948388758459,4.362787285298809
1001,160,5.3,3,overlapping,83.83656417952756,4.716528218742208
1001,160,5.3,4,non_overlapping,82.98948705756487,3.1674587605484956
1001,160,5.3,4,overlapping,82.98948705756487,3.1674587605484956
1001,160,5.3,5,non_overlapping,82.76813080131159,3.0516076731274957
1001,160,5.3,5,overlapping,82.76813080131159,3.0516076731274957
1002,160,5.3,3,non_overlapping,98.46153807632895,9.53200712075682
1002,160,5.3,3,overlapping,98.75420992789162,8.065688213995783
1002,160,5.3,4,non_overlapping,98.4516958957496,8.172434500707363
1002,160,5.3,4,overlapping,98.4516958957496,8.172434500707363
1002,160,5.3,5,non_overlapping,97.98833303344223,7.17403400762976
1002,160,5.3,5,overlapping,97.98833303344223,7.17403400762976
1003,160,5.3,3,non_overlapping,73.50245561891525,3.530948224865719
1003,160,5.3,3,overlapping,73.8731033003046,3.7411727742400402
1003,160,5.3,4,non_overlapping,73.72973429262251,3.6720698903653943
1003,160,5.3,4,overlapping,73.72973429262251,3.6720698903653943
1003,160,5.3,5,non_overlapping,73.59131215575316,3.458746329841811
1003,160,5.3,5,overlapping,73.59131215575316,3.458746329841811
1004,160,5.3,3,non_overlapping,75.17417436565006,5.516097804046544
1004,160,5.3,3,overlapping,75.95485170527535,4.535460806600947
1004,160,5.3,4,non_overlapping,75.31249548742588,4.205120094358424
1004,160,5.3,4,overlapping,75.31249548742588,4.205120094358424
1004,160,5.3,5,non_overlapping,74.86239829100721,3.9181394293739
1004,160,5.3,5,overlapping,74.86239829100721,3.9181394293739
1005,160,5.3,3,non_overlapping,75.65378643096034,5.2666160459783065
1005,160,5.3,3,overlapping,75.00435584946455,4.341426685997259
1005,160,5.3,4,non_overlapping,74.95749510151684,4.288779124236586
1005,160,5.3,4,overlapping,74.95749510151684,4.288779124236586
1005,160,5.3,5,non_overlapping,74.5815390527347,3.567480931903168
1005,160,5.3,5,overlapping,74.5815390527347,3.567480931903168
1006,160,5.3,3,non_overlapping,77.30417046721394,2.7216298049231593
1006,160,5.3,3,overlapping,77.72423138455748,2.233479033128585
1006,160,5.3,4,non_overlapping,77.62698442861485,2.345421785675691
1006,160,5.3,4,overlapping,77.62698442861485,2.345421785675691
1006,160,5.3,5,non_overlapping,77.6661461726679,1.8933484320662501
1006,160,5.3,5,overlapping,77.6661461726679,1.8933484320662501
101,160,5.3,3,non_overlapping,66.82105124177836,4.015646969178396
101,160,5.3,3,overlapping,67.184630670013,3.9387126292718593
101,160,5.3,4,non_overlapping,67.01396592607237,3.8586620781018555
101,160,5.3,4,overlapping,67.01396592607237,3.8586620781018555
101,160,5.3,5,non_overlapping,67.33404680443662,3.385302759818145
